"_IDSKU (Não alterável)","_NomeSKU","_EANSKU","_CodigoReferenciaSKU","_IDProduto (Não alterável)","_NomeProduto (Obrigatório)","_ProdutoAtivo (Não alterável)","_CodigoReferenciaProduto","_LinkTexto (Não alterável)","_TituloSite","_IDFornecedor","_IDDepartamento (Não alterável)","_NomeDepartamento","_IDCategoria","_NomeCategoria","_IDMarca","_Lojas"
"1481","Kit Perfume Paco Rabanne Invictus Masculino Eau de Toilette 100 ml + Gel de Banho 100 ml","3349668580958","","1446","Kit Perfume Paco Rabanne Invictus Masculino Eau de Toilette 100 ml + Gel de Banho 100 ml","NÃO","","kit-perfume-paco-rabanne-invictus-masculino-eau-de-toilette-100-ml-gel-de-banho-100-ml","Kit Perfume Paco Rabanne Invictus Masculino Eau de Toilette 100 ml + Gel de Banho 100 ml","","3","Perfumes","85","Kits de Perfumes","2000053",""
"1482","Kit Perfume Paco Rabanne Invictus Masculino Eau de Toilette 150 ml + Perfume 10 ml","3349668581023","","1447","Kit Perfume Paco Rabanne Invictus Masculino Eau de Toilette 150 ml + Perfume 10 ml","NÃO","","kit-perfume-paco-rabanne-invictus-masculino-eau-de-toilette-150-ml-perfume-10-ml","Kit Perfume Paco Rabanne Invictus Masculino Eau de Toilette 150 ml + Perfume 10 ml","","3","Perfumes","85","Kits de Perfumes","2000053",""
"1483","Kit Perfume Paco Rabanne Lady Million Feminino Eau de Parfum 50 ml + Esmalte","3349668576432","","1448","Kit Perfume Paco Rabanne Lady Million Feminino Eau de Parfum 50 ml + Esmalte","NÃO","","kit-perfume-paco-rabanne-lady-million-feminino-eau-de-parfum-50-ml-esmalte","Kit Perfume Paco Rabanne Lady Million Feminino Eau de Parfum 50 ml + Esmalte","","3","Perfumes","85","Kits de Perfumes","2000053",""
"1484","Kit Perfume Paco Rabanne Lady Million Feminino Eau de Parfum 50 ml + Perfume 10 ml","3349668580521","","1449","Kit Perfume Paco Rabanne Lady Million Feminino Eau de Parfum 50 ml + Perfume 10 ml","NÃO","","kit-perfume-paco-rabanne-lady-million-feminino-eau-de-parfum-50-ml-perfume-10-ml","Kit Perfume Paco Rabanne Lady Million Feminino Eau de Parfum 50 ml + Perfume 10 ml","","3","Perfumes","85","Kits de Perfumes","2000053",""
"1485","Kit Perfume Paco Rabanne Lady Million Feminino Empire Eau de Parfum 80 ml + Hidratante Corporal 100 ml","3349668579730","","1450","Kit Perfume Paco Rabanne Lady Million Feminino Empire Eau de Parfum 80 ml + Hidratante Corporal 100 ml","NÃO","","kit-perfume-paco-rabanne-lady-million-feminino-empire-eau-de-parfum-80-ml-hidratante-corporal-100-ml","Kit Perfume Paco Rabanne Lady Million Feminino Empire Eau de Parfum 80 ml + Hidratante Corporal 100 ml","","3","Perfumes","85","Kits de Perfumes","2000053",""
"1486","Kit Perfume Paco Rabanne Olympéa Feminino Eau de Parfum 80 ml + Hidratante Corporal 100 ml","3349668581153","","1451","Kit Perfume Paco Rabanne Olympéa Feminino Eau de Parfum 80 ml + Hidratante Corporal 100 ml","NÃO","","kit-perfume-paco-rabanne-olympea-feminino-eau-de-parfum-80-ml-hidratante-corporal-100-ml","Kit Perfume Paco Rabanne Olympéa Feminino Eau de Parfum 80 ml + Hidratante Corporal 100 ml","","3","Perfumes","85","Kits de Perfumes","2000053",""
"1487","Kit Perfume Paco Rabanne Pure XS Masculino Eau de Toilette 100 ml + Gel de Banho 100 ml","3349668580835","","1453","Kit Perfume Paco Rabanne Pure XS Masculino Eau de Toilette 100 ml + Gel de Banho 100 ml","NÃO","","kit-perfume-paco-rabanne-pure-xs-masculino-eau-de-toilette-100-ml-gel-de-banho-100-ml","Kit Perfume Paco Rabanne Pure XS Masculino Eau de Toilette 100 ml + Gel de Banho 100 ml","","3","Perfumes","85","Kits de Perfumes","2000053",""
"1488","Kit Perfume Paco Rabanne Pure XS Masculino Eau de Toilette 50 ml + Perfume 10 ml","3349668580545","","1455","Kit Perfume Paco Rabanne Pure XS Masculino Eau de Toilette 50 ml + Perfume 10 ml","NÃO","","kit-perfume-paco-rabanne-pure-xs-masculino-eau-de-toilette-50-ml-perfume-10-ml","Kit Perfume Paco Rabanne Pure XS Masculino Eau de Toilette 50 ml + Perfume 10 ml","","3","Perfumes","85","Kits de Perfumes","2000053","1"
"1489","Kit Perfume Paco Rabanne Pure XS Masculino Eau de Toilette 50 ml + Gel de Banho 100 ml","3349668580941","","1454","Kit Perfume Paco Rabanne Pure XS Masculino Eau de Toilette 50 ml + Gel de Banho 100 ml","NÃO","","kit-perfume-paco-rabanne-pure-xs-masculino-eau-de-toilette-50-ml-gel-de-banho-100-ml","Kit Perfume Paco Rabanne Pure XS Masculino Eau de Toilette 50 ml + Gel de Banho 100 ml","","3","Perfumes","85","Kits de Perfumes","2000053",""
"1490","Kit Perfume Paco Rabanne Pure XS For Her Feminino Eau de Parfum 80 ml + Hidratante Corporal 100 ml","3349668580798","","1452","Kit Perfume Paco Rabanne Pure XS For Her Feminino Eau de Parfum 80 ml + Hidratante Corporal 100 ml","NÃO","","kit-perfume-paco-rabanne-pure-xs-for-her-feminino-eau-de-parfum-80-ml-hidratante-corporal-100-ml","Kit Perfume Paco Rabanne Pure XS For Her Feminino Eau de Parfum 80 ml + Hidratante Corporal 100 ml","","3","Perfumes","85","Kits de Perfumes","2000053",""
"1491","Kit Perfume Shakira Dance Diamonds Feminino Eau de Toilette 80 ml + Desodorante Corporal 150 ml","8411061932346","","1456","Kit Perfume Shakira Dance Diamonds Feminino Eau de Toilette 80 ml + Desodorante Corporal 150 ml","NÃO","","kit-perfume-shakira-dance-diamonds-feminino-eau-de-toilette-80-ml-desodorante-corporal-150-ml","Kit Perfume Shakira Dance Diamonds Feminino Eau de Toilette 80 ml + Desodorante Corporal 150 ml","","3","Perfumes","85","Kits de Perfumes","2000077",""
"1492","Kit Perfume Shakira Dance Diamonds Feminino Eau de Toilette 80 ml + Desodorante Corporal Pants 150 ml","8411061957295","","1457","Kit Perfume Shakira Dance Diamonds Feminino Eau de Toilette 80 ml + Desodorante Corporal Pants 150 ml","NÃO","","kit-perfume-shakira-dance-diamonds-feminino-eau-de-toilette-80-ml-desodorante-corporal-pants-150-ml","Kit Perfume Shakira Dance Diamonds Feminino Eau de Toilette 80 ml + Desodorante Corporal Pants 150 ml","","3","Perfumes","85","Kits de Perfumes","2000077",""
"1493","Kit Perfume Shakira Dance Feminino Eau de Toilette 80 ml + Desodorante Corporal 150 ml","8411061957189","","1458","Kit Perfume Shakira Dance Feminino Eau de Toilette 80 ml + Desodorante Corporal 150 ml","NÃO","","kit-perfume-shakira-dance-feminino-eau-de-toilette-80-ml-desodorante-corporal-150-ml","Kit Perfume Shakira Dance Feminino Eau de Toilette 80 ml + Desodorante Corporal 150 ml","","3","Perfumes","85","Kits de Perfumes","2000077",""
"1494","Kit Perfume Shakira Dance Feminino Eau de Toilette 80 ml + Gloss Labial","8411061957233","","1459","Kit Perfume Shakira Dance Feminino Eau de Toilette 80 ml + Gloss Labial","SIM","","kit-perfume-shakira-dance-feminino-eau-de-toilette-80-ml-gloss-labial","Kit Perfume Shakira Dance Feminino 80 ml + Gloss Labial","","3","Perfumes","85","Kits de Perfumes","2000077",""
"1495","Kit Perfume Shakira Dream Feminino Eau de Toilette 80 ml + Desodorante Corporal 150 ml","8411061957363","","1460","Kit Perfume Shakira Dream Feminino Eau de Toilette 80 ml + Desodorante Corporal 150 ml","SIM","","kit-perfume-shakira-dream-feminino-eau-de-toilette-80-ml-desodorante-corporal-150-ml","Perfume Shakira Dream 80 ml Desodorante Corporal 150 ml","","3","Perfumes","85","Kits de Perfumes","2000077",""
"1496","Kit Perfume Shakira Rock Feminino Eau de Toilette 80 ml + Desodorante Corporal 150 ml","8411061957202","","1461","Kit Perfume Shakira Rock Feminino Eau de Toilette 80 ml + Desodorante Corporal 150 ml","NÃO","","kit-perfume-shakira-rock-feminino-eau-de-toilette-80-ml-desodorante-corporal-150-ml","Kit Perfume Shakira Rock Feminino Eau de Toilette 80 ml + Desodorante Corporal 150 ml","","3","Perfumes","85","Kits de Perfumes","2000077",""
"1497","Kit Perfume Shakira Sweet Dream Feminino Eau de Toilette 80 ml + Desodorante Corporal 150 ml","8411061955581","","1462","Kit Perfume Shakira Sweet Dream Feminino Eau de Toilette 80 ml + Desodorante Corporal 150 ml","NÃO","","kit-perfume-shakira-sweet-dream-feminino-eau-de-toilette-80-ml-desodorante-corporal-150-ml","Kit Perfume Shakira Sweet Dream Feminino Eau de Toilette 80 ml + Desodorante Corporal 150 ml","","3","Perfumes","85","Kits de Perfumes","2000077",""
"1498","150 ml","8411061956113","","1463","Óleo para Pernas Carolina Herrera Good Girl 150 ml","SIM","","oleo-para-pernas-carolina-herrera-good-girl-150-ml","Óleo para Pernas Carolina Herrera Good Girl 150 ml","","2","Cuidados da Pele","21","Gel e Oleo","2000011",""
"1499","30 ml","8411061957806","","1464","Perfume Banderas Blue Seduction Dose Feminino Eau de Toilette 30 ml","NÃO","","perfume-antonio-banderas-blue-seduction-dose-feminino-eau-de-toilette-30-ml","Perfume Banderas Blue Seduction Dose Feminino Eau de Toilette 30 ml","","3","Perfumes","86","Perfume","2000004",""
"1500","100 ml","8411061636268","","1467","Perfume Banderas Blue Seduction Masculino Eau de Toilette 100 ml","SIM","","perfume-antonio-banderas-blue-seduction-masculino-eau-de-toilette-100-ml","Perfume Antonio Banderas Blue Seduction Masculino 100 ml","","3","Perfumes","86","Perfume","2000004",""
"1501","200 ml","8411061737835","","1468","Perfume Banderas Blue Seduction Masculino Eau de Toilette 200 ml","SIM","","perfume-antonio-banderas-blue-seduction-masculino-eau-de-toilette-200-ml","Perfume Antonio Banderas Blue Seduction Masculino 200 ml","","3","Perfumes","86","Perfume","2000004",""
"1502","50 ml","8411061982617","","1465","Perfume Banderas Blue Seduction Feminino Eau de Toilette 50 ml","SIM","","perfume-antonio-banderas-blue-seduction-feminino-eau-de-toilette-50-ml","Perfume Antonio Banderas Blue Seduction Feminino 50 ml","","3","Perfumes","86","Perfume","2000004",""
"1503","50 ml","8411061636275","","1469","Perfume Banderas Blue Seduction Masculino Eau de Toilette 50 ml","SIM","","perfume-antonio-banderas-blue-seduction-masculino-eau-de-toilette-50-ml","Perfume Antonio Banderas Blue Seduction Masculino 50 ml","","3","Perfumes","86","Perfume","2000004",""
"1504","80 ml","8411061982105","","1466","Perfume Banderas Blue Seduction Feminino Eau de Toilette 80 ml","SIM","","perfume-antonio-banderas-blue-seduction-feminino-eau-de-toilette-80-ml","Perfume Antonio Banderas Blue Seduction Feminino 80 ml","","3","Perfumes","86","Perfume","2000004",""
"1505","50 ml","8411061849378","","1470","Perfume Banderas Diavolo Masculino Eau de Toilette 50 ml","SIM","","perfume-antonio-banderas-diavolo-masculino-eau-de-toilette-50-ml","Perfume Banderas Diavolo Masculino Eau de Toilette 50 ml","","3","Perfumes","86","Perfume","2000004",""
"1506","30 ml","8411061957844","","1471","Perfume Banderas Her Golden Secret Dose Feminino Eau de Toilette 30 ml","SIM","","perfume-antonio-banderas-her-golden-secret-dose-feminino-eau-de-toilette-30-ml","Antonio Banderas Her Golden Secret Dose Feminino 30 ml","","3","Perfumes","86","Perfume","2000004",""
"1507","30 ml","8411061944776","","1475","Perfume Banderas Her Secret Temptation Dose Feminino Eau de Toilette 30 ml","SIM","","perfume-antonio-banderas-her-secret-temptation-dose-feminino-eau-de-toilette-30-ml","Perfume Antonio Banderas Her Secret Temptation Dose 30 ml","","3","Perfumes","86","Perfume","2000004",""
"1508","30 ml","8411061971864","","1472","Perfume Banderas Her Secret Desire Feminino Eau de Toilette 30 ml","SIM","","perfume-antonio-banderas-her-secret-desire-feminino-eau-de-toilette-30-ml","Perfume Antonio Banderas Her Secret Desire Feminino 30 ml","","3","Perfumes","86","Perfume","2000004",""
"1509","50 ml","8411061944684","","1473","Perfume Banderas Her Secret Desire Feminino Eau de Toilette 50 ml","SIM","","perfume-antonio-banderas-her-secret-desire-feminino-eau-de-toilette-50-ml","Antonio Banderas Her Secret Desire Eau de Toilette 50 ml","","3","Perfumes","86","Perfume","2000004",""
"1510","80 ml","8411061944653","","1474","Perfume Banderas Her Secret Desire Feminino Eau de Toilette 80 ml","SIM","","perfume-antonio-banderas-her-secret-desire-feminino-eau-de-toilette-80-ml","Antonio Banderas Her Secret Desire Eau de Toilette 80 ml","","3","Perfumes","86","Perfume","2000004",""
"1511","50 ml","8411061860441","","1476","Perfume Banderas Her Secret Temptation Feminino Eau de Toilette 50 ml","SIM","","perfume-antonio-banderas-her-secret-temptation-feminino-eau-de-toilette-50-ml","Antonio Banderas Her Secret Temptation Feminino 50 ml","","3","Perfumes","86","Perfume","2000004",""
"1512","80 ml","8411061860410","","1477","Perfume Banderas Her Secret Temptation Feminino Eau de Toilette 80 ml","SIM","","perfume-antonio-banderas-her-secret-temptation-feminino-eau-de-toilette-80-ml","Antonio Banderas Her Secret Temptation Feminino 80 ml","","3","Perfumes","86","Perfume","2000004",""
"1513","100 ml","8411061813973","","1478","Perfume Banderas King of Seduction Absolute Masculino Eau de Toilette 100 ml","SIM","","perfume-antonio-banderas-king-of-seduction-absolute-masculino-eau-de-toilette-100-ml","Antonio Banderas King of Seduction Absolute 100 ml","","3","Perfumes","86","Perfume","2000004",""
"1514","200 ml","8411061829530","","1479","Perfume Banderas King of Seduction Absolute Masculino Eau de Toilette 200 ml","SIM","","perfume-antonio-banderas-king-of-seduction-absolute-masculino-eau-de-toilette-200-ml","Antonio Banderas King of Seduction Absolute 200 ml","","3","Perfumes","86","Perfume","2000004",""
"1515","50 ml","8411061819623","","1480","Perfume Banderas King of Seduction Absolute Masculino Eau de Toilette 50 ml","SIM","","perfume-antonio-banderas-king-of-seduction-absolute-masculino-eau-de-toilette-50-ml","Antonio Banderas King of Seduction Absolute 50 ml","","3","Perfumes","86","Perfume","2000004",""
"1516","30 ml","8411061957783","","1481","Perfume Banderas King of Seduction Dose Masculino Eau de Toilette 30 ml","SIM","","perfume-antonio-banderas-king-of-seduction-dose-masculino-eau-de-toilette-30-ml","Antonio Banderas King of Seduction Dose Masculino 30 ml","","3","Perfumes","86","Perfume","2000004",""
"1517","100 ml","8411061784273","","1482","Perfume Banderas King of Seduction Masculino Eau de Toilette 100 ml","SIM","","perfume-antonio-banderas-king-of-seduction-masculino-eau-de-toilette-100-ml","Antonio Banderas King of Seduction Eau de Toilette 100 ml","","3","Perfumes","86","Perfume","2000004",""
"1518","200 ml","8411061819685","","1483","Perfume Banderas King of Seduction Masculino Eau de Toilette 200 ml","SIM","","perfume-antonio-banderas-king-of-seduction-masculino-eau-de-toilette-200-ml","Antonio Banderas King of Seduction Eau de Toilette 200 ml","","3","Perfumes","86","Perfume","2000004",""
"1519","50 ml","8411061784280","","1484","Perfume Banderas King of Seduction Masculino Eau de Toilette 50 ml","SIM","","perfume-antonio-banderas-king-of-seduction-masculino-eau-de-toilette-50-ml","Antonio Banderas King of Seduction Eau de Toilette 50 ml","","3","Perfumes","86","Perfume","2000004",""
"1520","100 ml","8411061027011","","1843","Perfume Banderas Mediterráneo Masculino Eau de Toilette 100 ml","SIM","","perfume-antonio-banderas-mediterraneo-masculino-eau-de-toilette-100-ml","Antonio Banderas Mediterráneo Eau de Toilette 100 ml","","3","Perfumes","86","Perfume","2000004",""
"1521","100 ml","8411061913024","","1486","Perfume Banderas Power of Seduction Masculino Eau de Toilette 100 ml","SIM","","perfume-antonio-banderas-power-of-seduction-masculino-eau-de-toilette-100-ml","Antonio Banderas Power of Seduction Eau de Toilette 100 ml","","3","Perfumes","86","Perfume","2000004",""
"1522","100 ml","8411061971918","","1485","Perfume Banderas Power of Seduction Force Masculino Eau de Toilette 100 ml","SIM","","perfume-antonio-banderas-power-of-seduction-force-masculino-eau-de-toilette-100-ml","Antonio Banderas Power of Seduction Force 100 ml","","3","Perfumes","86","Perfume","2000004",""
"1523","150 ml","8411061938232","","1487","Desodorante Spray Banderas Power of Seduction Masculino 150 ml","NÃO","","-desodorante-spray-antonio-banderas-power-of-seduction-masculino-150-ml","Desodorante Spray Banderas Power of Seduction Masculino 150 ml","","3","Perfumes","23","Desodorante","2000004",""
"1524","200 ml","8411061945568","","1488","Perfume Banderas Power of Seduction Masculino Eau de Toilette 200 ml","SIM","","perfume-antonio-banderas-power-of-seduction-masculino-eau-de-toilette-200-ml","Antonio Banderas Power of Seduction Eau de Toilette 200 ml","","3","Perfumes","86","Perfume","2000004",""
"1525","30 ml","8411061971888","","1489","Perfume Banderas Power of Seduction Masculino Eau de Toilette 30 ml","SIM","","perfume-antonio-banderas-power-of-seduction-masculino-eau-de-toilette-30-ml","Antonio Banderas Power of Seduction Eau de Toilette 30 ml","","3","Perfumes","86","Perfume","2000004",""
"1526","50 ml","8411061917510","","1490","Perfume Banderas Power of Seduction Masculino Eau de Toilette 50 ml","SIM","","perfume-antonio-banderas-power-of-seduction-masculino-eau-de-toilette-50-ml","Antonio Banderas Power of Seduction Eau de Toilette 50 ml","","3","Perfumes","86","Perfume","2000004",""
"1527","30 ml","8411061957790","","1491","Perfume Banderas Queen of Seduction Dose Feminino Eau de Toilette 30 ml","SIM","","perfume-antonio-banderas-queen-of-seduction-dose-feminino-eau-de-toilette-30-ml","Perfume Banderas Queen of Seduction Dose Feminino Eau de Toilette 30 ml","","3","Perfumes","86","Perfume","2000004",""
"1528","50 ml","8411061982044","","1492","Perfume Banderas Queen of Seduction Feminino Eau de Toilette 50 ml","SIM","","perfume-antonio-banderas-queen-of-seduction-feminino-eau-de-toilette-50-ml","Antonio Banderas Queen of Seduction Eau de Toilette 50 ml","","3","Perfumes","86","Perfume","2000004",""
"1529","80 ml","8411061982020","","1493","Perfume Banderas Queen of Seduction Feminino Eau de Toilette 80 ml","SIM","","perfume-antonio-banderas-queen-of-seduction-feminino-eau-de-toilette-80-ml","Perfume Queen of Seduction Eau Toilette 80 ml | AMOBELEZA","","3","Perfumes","86","Perfume","2000004",""
"1530","100 ml","8411061695951","","1494","Perfume Banderas Seduction in Black Masculino Eau de Toilette 100 ml","SIM","","perfume-antonio-banderas-seduction-in-black-masculino-eau-de-toilette-100-ml","Antonio Banderas Seduction in Black Masculino 100 ml","","3","Perfumes","86","Perfume","2000004",""
"1531","200 ml","8411061930878","","1495","Perfume Banderas Seduction in Black Masculino Eau de Toilette 200 ml","SIM","","perfume-antonio-banderas-seduction-in-black-masculino-eau-de-toilette-200-ml","Antonio Banderas Seduction in Black Masculino 200 ml","","3","Perfumes","86","Perfume","2000004",""
"1532","50 ml","8411061698594","","1496","Perfume Banderas Seduction in Black Masculino Eau de Toilette 50 ml","SIM","","perfume-antonio-banderas-seduction-in-black-masculino-eau-de-toilette-50-ml","Antonio Banderas Seduction in Black Masculino 50 ml","","3","Perfumes","86","Perfume","2000004",""
"1533","100 ml","8411061722756","","1500","Perfume Banderas The Golden Secret Masculino Eau de Toilette 100 ml","SIM","","perfume-antonio-banderas-the-golden-secret-masculino-eau-de-toilette-100-ml","Antonio Banderas The Golden Secret Eau de Toilette 100 ml","","3","Perfumes","86","Perfume","2000004",""
"1534","200 ml","8411061791691","","1501","Perfume Banderas The Golden Secret Masculino Eau de Toilette 200 ml","SIM","","perfume-antonio-banderas-the-golden-secret-masculino-eau-de-toilette-200-ml","Antonio Banderas The Golden Secret Eau de Toilette 200 ml","","3","Perfumes","86","Perfume","2000004",""
"1535","30 ml","8411061722800","","1502","Perfume Banderas The Golden Secret Masculino Eau de Toilette 30 ml","SIM","","perfume-antonio-banderas-the-golden-secret-masculino-eau-de-toilette-30-ml","Antonio Banderas The Golden Secret Eau de Toilette 30 ml","","3","Perfumes","86","Perfume","2000004",""
"1536","30 ml","8411061957738","","1497","Perfume Banderas The Golden Secret Dose Masculino Eau de Toilette 30 ml","NÃO","","perfume-antonio-banderas-the-golden-secret-dose-masculino-eau-de-toilette-30-ml","Perfume Banderas The Golden Secret Dose Masculino Eau de Toilette 30 ml","","3","Perfumes","86","Perfume","2000004",""
"1537","50 ml","8411061948903","","1498","Perfume Banderas Her Golden Secret Feminino Eau de Toilette 50 ml","SIM","","perfume-antonio-banderas-the-golden-secret-feminino-eau-de-toilette-50-ml","Antonio Banderas Her Golden Secret Eau de Toilette 50 ml","","3","Perfumes","86","Perfume","2000004",""
"1538","50 ml","8411061727935","","1503","Perfume Banderas The Golden Secret Masculino Eau de Toilette 50 ml","SIM","","perfume-antonio-banderas-the-golden-secret-masculino-eau-de-toilette-50-ml","Antonio Banderas The Golden Secret Eau de Toilette 50 ml","","3","Perfumes","86","Perfume","2000004",""
"1539","80 ml","8411061946671","","1499","Perfume Banderas Her Golden Secret Feminino Eau de Toilette 80 ml","SIM","","perfume-antonio-banderas-the-golden-secret-feminino-eau-de-toilette-80-ml","Antonio Banderas Her Golden Secret Eau de Toilette 80 ml","","3","Perfumes","86","Perfume","2000004",""
"1540","100 ml","8411061701034","","1504","Perfume Banderas The Secret Masculino Eau de Toilette 100 ml","SIM","","perfume-antonio-banderas-the-secret-masculino-eau-de-toilette-100-ml","Antonio Banderas The Secret Eau de Toilette 100 ml","","3","Perfumes","86","Perfume","2000004",""
"1541","200 ml","8411061779521","","1505","Perfume Banderas The Secret Masculino Eau de Toilette 200 ml","SIM","","perfume-antonio-banderas-the-secret-masculino-eau-de-toilette-200-ml","Perfume Banderas The Secret Masculino Eau de Toilette 200 ml","","3","Perfumes","86","Perfume","2000004",""
"1542","30 ml","8411061701058","","1506","Perfume Banderas The Secret Masculino Eau de Toilette 30 ml","SIM","","perfume-antonio-banderas-the-secret-masculino-eau-de-toilette-30-ml","Perfume Banderas The Secret Masculino Eau de Toilette 30 ml","","3","Perfumes","86","Perfume","2000004",""
"1543","50 ml","8411061701041","","1507","Perfume Banderas The Secret Masculino Eau de Toilette 50 ml","SIM","","perfume-antonio-banderas-the-secret-masculino-eau-de-toilette-50-ml","Perfume Banderas The Secret Masculino Eau de Toilette 50 ml","","3","Perfumes","86","Perfume","2000004",""
"1544","100 ml","8411061860502","","1508","Perfume Banderas The Secret Temptation Masculino Eau de Toilette 100 ml","SIM","","perfume-antonio-banderas-the-secret-temptation-masculino-eau-de-toilette-100-ml","Antonio Banderas The Secret Temptation Eau de Toilette ","","3","Perfumes","86","Perfume","2000004",""
"1545","200 ml","8411061920510","","1509","Perfume Banderas The Secret Temptation Masculino Eau de Toilette 200 ml","NÃO","","perfume-antonio-banderas-the-secret-temptation-masculino-eau-de-toilette-200-ml","Perfume Banderas The Secret Temptation Masculino Eau de Toilette 200 ml","","3","Perfumes","86","Perfume","2000004",""
"1546","30 ml","8411061957868","","1510","Perfume Banderas The Secret Temptation Masculino Eau de Toilette 30 ml","SIM","","perfume-antonio-banderas-the-secret-temptation-masculino-eau-de-toilette-30-ml","Antonio Banderas The Secret Temptation Eau de Toilette","","3","Perfumes","86","Perfume","2000004",""
"1547","50 ml","8411061860564","","1511","Perfume Banderas The Secret Temptation Masculino Eau de Toilette 50 ml","SIM","","perfume-antonio-banderas-the-secret-temptation-masculino-eau-de-toilette-50-ml","Antonio Banderas The Secret Temptation Eau de Toilette","","3","Perfumes","86","Perfume","2000004",""
"1548","50 ml","8433982015113	","","1512","Perfume Benetton Colors Blue Feminino Eau de Toilette 50 ml","SIM","","perfume-benetton-colors-blue-feminino-eau-de-toilette-50-ml","Benetton Colors Blue Feminino Eau de Toilette 50 ml","","3","Perfumes","86","Perfume","2000073",""
"1549","50 ml","8433982016578","","1548","Perfume Benetton United Dreams Together Her Feminino Eau de Toilette 50 ml","SIM","","perfume-benetton-united-dreams-together-her-feminino-eau-de-toilette-50-ml","Benetton United Dreams Together Her Feminino 50 ml","","3","Perfumes","86","Perfume","2000073",""
"1550","80 ml","8433982016493","","1549","Perfume Benetton United Dreams Together Her Feminino Eau de Toilette 80 ml","SIM","","perfume-benetton-united-dreams-together-her-feminino-eau-de-toilette-80-ml","Perfume Benetton United Dreams Together for Her 80 ml","","3","Perfumes","86","Perfume","2000073",""
"1551","100 ml","8433982016479","","1550","Perfume Benetton United Dreams Together Him Masculino Eau de Toilette 100 ml","SIM","","perfume-benetton-united-dreams-together-him-masculino-eau-de-toilette-100-ml","Benetton United Dreams Together Him Masculino 100 ml","","3","Perfumes","86","Perfume","2000073",""
"1552","60 ml","8433982016462","","1551","Perfume Benetton United Dreams Together Him Masculino Eau de Toilette 60 ml","SIM","","perfume-benetton-united-dreams-together-him-masculino-eau-de-toilette-60-ml","Benetton United Dreams Together Him Masculino 60 ml","","3","Perfumes","86","Perfume","2000073",""
"1553","100 ml","8433982013201","","1515","Perfume Benetton Colors Man Black Masculino Eau de Toilette 100 ml","SIM","","perfume-benetton-colors-man-black-masculino-eau-de-toilette-100-ml","Benetton Colors Man Black Eau de Toilette 100 ml","","3","Perfumes","86","Perfume","2000073",""
"1554","60 ml","8433982013164","","1516","Perfume Benetton Colors Man Black Masculino Eau de Toilette 60 ml","SIM","","perfume-benetton-colors-man-black-masculino-eau-de-toilette-60-ml","Perfume Benetton Colors Man Black Eau de Toilette 60 ml","","3","Perfumes","86","Perfume","2000073",""
"1555","100 ml","8433982011276","","1517","Perfume Benetton Colors Man Blue Masculino Eau de Toilette 100 ml","SIM","","perfume-benetton-colors-man-blue-masculino-eau-de-toilette-100-ml","Benetton Colors Man Blue Masculino Eau de Toilette 100 ml","","3","Perfumes","86","Perfume","2000073",""
"1556","200 ml","8433982011450","","1518","Perfume Benetton Colors Man Blue Masculino Eau de Toilette 200 ml","SIM","","perfume-benetton-colors-man-blue-masculino-eau-de-toilette-200-ml","Benetton Colors Man Blue Masculino Eau de Toilette 200 ml","","3","Perfumes","86","Perfume","2000073",""
"1557","60 ml","8433982011474","","1519","Perfume Benetton Colors Man Blue Masculino Eau de Toilette 60 ml","SIM","","perfume-benetton-colors-man-blue-masculino-eau-de-toilette-60-ml","Benetton Colors Man Blue Masculino Eau de Toilette 60 ml","","3","Perfumes","86","Perfume","2000073",""
"1558","100 ml","8433982011245","","1520","Perfume Benetton Colors Man Green Masculino Eau de Toilette 100 ml","SIM","","perfume-benetton-colors-man-green-masculino-eau-de-toilette-100-ml","Benetton Colors Man Green Eau de Toilette 100 ml","","3","Perfumes","86","Perfume","2000073",""
"1559","100 ml","8433982016080","","1514","Perfume Benetton Colors Man Holo Masculino Eau de Toilette 100 ml","SIM","","perfume-benetton-colors-holo-masculino-eau-de-toilette-100-ml","Perfume Benetton Colors Man Holo Eau de Toilette 100 ml","","3","Perfumes","86","Perfume","2000073",""
"1560","200 ml","8433982011467","","1521","Perfume Benetton Colors Man Green Masculino Eau de Toilette 200 ml","SIM","","perfume-benetton-colors-man-green-masculino-eau-de-toilette-200-ml","Benetton Colors Man Green Eau de Toilette 200 ml","","3","Perfumes","86","Perfume","2000073",""
"1561","60 ml","8433982011481","","1522","Perfume Benetton Colors Man Green Masculino Eau de Toilette 60 ml","SIM","","perfume-benetton-colors-man-green-masculino-eau-de-toilette-60-ml","Benetton Colors Man Green Eau de Toilette Masculino 60 ml","","3","Perfumes","86","Perfume","2000073",""
"1562","50 ml","8433982015076","","1524","Perfume Benetton Colors Pink Feminino Eau de Toilette 50 ml","SIM","","perfume-benetton-colors-pink-feminino-eau-de-toilette-50-ml","Perfume Benetton Colors Pink Feminino Eau de Toilette 50 ml","","3","Perfumes","86","Perfume","2000073",""
"1563","50 ml","8433982015076","","1523","Perfume Benetton Colors Pink Feminino Eau de Toilette 50 ml","SIM","","perfume-benetton-colors-pink-edt-feminino-eau-de-toilette-50-ml","Benetton Colors Pink Feminino Eau de Toilette 50 ml","","3","Perfumes","86","Perfume","2000073",""
