"_IDSKU (Não alterável)","_NomeSKU","_EANSKU","_CodigoReferenciaSKU","_IDProduto (Não alterável)","_NomeProduto (Obrigatório)","_ProdutoAtivo (Não alterável)","_CodigoReferenciaProduto","_LinkTexto (Não alterável)","_TituloSite","_IDFornecedor","_IDDepartamento (Não alterável)","_NomeDepartamento","_IDCategoria","_NomeCategoria","_IDMarca","_Lojas"
"10400","250 ml","3614226750785","","1389700267","Shampoo Wella Professionals Color Motion 250 ml","SIM","","shampoo-wella-professionals-color-motion-250-ml","Shampoo Wella Professionals Color Motion 250 ml","","1","Cabelos","10","Shampoo","3",""
"10401","1000 ml","3614226750716","","1389700268","Shampoo Wella Professionals Color Motion 1000 ml","SIM","","shampoo-wella-professionals-color-motion-1000-ml","Shampoo Wella Professionals Color Motion 1000 ml","","1","Cabelos","10","Shampoo","3",""
"10402","200 ml","4064666097640","","1389700269","Condicionador Wella Professionals Color Motion 200 ml","SIM","","condicionador-wella-professionals-color-motion-200-ml","Condicionador Wella Professionals Color Motion 200 ml","","1","Cabelos","11","Condicionador","3",""
"10403","150 ml","5901832062257","","1389700295","Máscara de Reconstrução Wella Professionals Color Motion 150 ml","SIM","","mascara-de-reconstrucao-wella-professionals-color-motion-150-ml","Máscara de Reconstrução Wella Professionals Color Motion 150 ml","","1","Cabelos","12","Mascaras","3",""
"10404","1000 ml","4064666097725","","1389700270","Condicionador Wella Professionals Color Motion 1000 ml","SIM","","condicionador-wella-professionals-color-motion-1000-ml-","Condicionador Wella Professionals Color Motion 1000 ml","","1","Cabelos","11","Condicionador","3",""
"10405","/00 Natural Intenso","7891182018395","","1389700271","Tonalizante Wella Professionals Color Touch Relights Blonde /00 Natural Intenso 60 ml","SIM","","tonalizante-wella-professionals-color-touch-relights-blonde-00-natural-intenso-60-ml","Tonalizante Wella Professionals Color Touch Relights Blonde /00 Natural Intenso 60 ml","","1","Cabelos","9","Coloracao","3",""
"10406","0/34 Magic Coral","7891182018869","","1389700272","Tonalizante Wella Professionals Color Touch Special Mix 0/34 Magic Coral 60 ml","SIM","","tonalizante-wella-professionals-color-touch-special-mix-magic-coral-0-34-magic-coral-60-ml","Tonalizante Wella Professionals Color Touch Special Mix 0/34 Magic Coral 60 ml","","1","Cabelos","9","Coloracao","3",""
"10407","0/45 Magic Rubi","7891182017138","","1389700273","Tonalizante Wella Professionals Color Touch Special Mix 0/45 Magic Rubi  60 ml","SIM","","tonalizante-wella-professionals-color-touch-special-mix-magic-rubi-0-45-magic-rubi-60-ml","Tonalizante Wella Professionals Color Touch Special Mix 0/45 Magic Rubi  60 ml","","1","Cabelos","9","Coloracao","3",""
"10408","0/68 Roxo Vibrante","7891182018876","","1389700274","Tonalizante Wella Professionals Color Touch Special Mix 0/68 Magic Quartzo 60 ml","SIM","","tonalizante-wella-professionals-color-touch-special-mix-0-68-magic-quartzo-60-ml","Tonalizante Wella Professionals Color Touch Special Mix 0/68 Magic Quartzo 60 ml","","1","Cabelos","9","Coloracao","3",""
"10409","5/4 Castanho Claro Avermelhado","7891182018937","","1389700296","Tonalizante Wella Professionals Color Touch Vibrant Reds 5/4 Castanho Claro Avermelhado 60 ml","SIM","","tonalizante-wella-professionals-color-touch-vibrant-reds-5-4-castanho-claro-avermelhado-60-ml","Tonalizante Wella Professionals Color Touch Vibrant Reds 5/4 Castanho Claro Avermelhado 60 ml","","1","Cabelos","9","Coloracao","3",""
